SAT,WL(um),PW(cm),PHASE,COD,VZA(deg),SZA(deg),Reff(um),Topdown(W/m2),L30(W/m2/sr),L150(W/m2/sr),R30,R150
GOES13,3.9,6,water,50,10,10,19.5,3195.312,55.6806221,88.81354523,0.054744523644849,0.087320418548747
GOES13,3.9,6,water,50,10,10,20.0,3195.312,53.72291946,86.54684448,0.052819733755243,0.08509182540226
GOES13,3.9,6,water,50,10,10,20.5,3195.312,51.87800598,84.32326508,0.051005836822713,0.082905628652862
GOES13,3.9,6,water,50,10,10,21.0,3195.312,50.13566971,82.13697052,0.049292792579798,0.080756089913521
GOES13,3.9,6,water,50,10,10,21.5,3195.312,48.48632812,79.98421478,0.047671179597278,0.078639526142047
GOES13,3.9,6,water,50,10,10,22.0,3195.312,46.92222214,77.8631134,0.046133369250055,0.076554084559839
GOES13,3.9,6,water,50,10,10,22.5,3195.312,45.43642426,75.772995,0.044672550492911,0.074499105074089
GOES13,3.9,6,water,50,10,10,23.0,3195.312,44.02233887,73.71378326,0.043282238600748,0.072474512647881
GOES13,3.9,6,water,50,10,10,23.5,3195.312,42.67508316,71.68666077,0.041957632853001,0.070481469989602
GOES13,3.9,6,water,50,10,10,24.0,3195.312,41.38923645,69.69259644,0.040693403701739,0.068520929720009
GOES13,3.9,6,water,50,10,10,24.5,3195.312,40.16067505,67.73308563,0.039485496784129,0.066594362059222
GOES13,3.9,6,water,50,10,10,25.0,3195.312,38.985466,65.81013489,0.038330045260799,0.064703739823272
GOES13,3.9,6,water,50,10,10,25.5,3195.312,37.86025238,63.92505646,0.037223748648039,0.062850353190877
GOES13,3.9,6,water,50,10,10,26.0,3195.312,36.78158569,62.07925034,0.036163216421773,0.061035578625344
GOES13,3.9,6,water,50,10,10,26.5,3195.312,35.74700546,60.27507401,0.035146029477237,0.059261733972894
GOES13,3.9,6,water,50,10,10,27.0,3195.312,34.7538414,58.51325226,0.034169562417149,0.057529531838413
GOES13,3.9,6,water,50,10,10,27.5,3195.312,33.79974747,56.79551315,0.033231508642956,0.055840671229884
GOES13,3.9,6,water,50,10,10,28.0,3195.312,32.88258362,55.12260818,0.03232976408302,0.054195891013146
GOES13,3.9,6,water,50,10,10,28.5,3195.312,32.00069809,53.49530029,0.031462704746607,0.052595941301708
GOES13,3.9,6,water,50,10,10,29.0,3195.312,31.15176582,51.91418076,0.03062804466245,0.051041403435016
GOES13,3.9,6,water,50,10,10,29.5,3195.312,30.33465958,50.37945557,0.029824675551456,0.049532479930149
GOES13,3.9,6,water,50,10,10,30.0,3195.312,29.54751587,48.89137268,0.029050765242649,0.048069414578423
GOES13,3.9,6,water,50,10,10,31.0,3195.312,28.0581646,46.05428696,0.027586452834832,0.0452800257314
GOES13,3.9,6,water,50,10,10,32.0,3195.312,26.67332649,43.39956665,0.026224896519584,0.042669936380742
GOES13,3.9,6,water,50,10,10,33.0,3195.312,25.38383293,40.92195892,0.024957081828892,0.040233982006632
GOES13,3.9,6,water,50,10,10,34.0,3195.312,24.18194771,38.61413193,0.023775402613338,0.037964954031417
GOES13,3.9,6,water,50,10,10,35.0,3195.312,23.0602169,36.46782303,0.022672530257836,0.035854728716151
GOES13,3.9,6,water,50,10,10,36.0,3195.312,22.01202202,34.47309113,0.021641957551779,0.033893532099695
GOES13,3.9,6,water,50,10,10,37.0,3195.312,21.03190041,32.62073517,0.020678313672996,0.032072317809582
GOES13,3.9,6,water,50,10,10,38.0,3195.312,20.11431503,30.90060425,0.019776154669791,0.030381105601984
GOES13,3.9,6,water,50,10,10,39.0,3195.312,19.25447464,29.30300713,0.018930769852132,0.028810367165303
GOES13,3.9,6,water,50,10,10,40.0,3195.312,18.44787407,27.8186512,0.0181377297906,0.027350966116203
GOES13,3.9,6,water,50,10,10,41.0,3195.312,17.69065285,26.43878937,0.017393238917128,0.025994302420108
